"Country Name","Total","GDP","Log_GDP","Log_Total","Predicted","Residual","Outlier","OutlierType","aboveorbelow"
"Nigeria",6673.424,518476820025.41,26.9741611577833,8.80588835052239,8.27758834384916,0.528300006673238,"no","no","above"
"Norway",63796.753,419214549963.832,26.7616486782341,11.0634575746208,8.06235180579185,3.00110576882899,"yes","above","above"
"Oman",8932.147,82728063877.9983,25.1388247269736,9.09741207050487,6.41872593550553,2.67868613499934,"yes","above","above"
"Pakistan",1405.214,341055457917.518,26.5553109341958,7.24794488333663,7.85336915314215,-0.60542426980552,"no","no","below"
"Panama",967.43,60575131170.7591,24.827150269074,6.87464307086526,6.10305632654181,0.771586744323443,"no","no","above"
"Papua New Guinea",137.549,24008697651.1126,23.9016820037723,4.92398021726055,5.16572508873416,-0.241744871473609,"no","no","below"
"Paraguay",50.424,41998595069.0638,24.4609020039337,3.92046725221081,5.73211336438968,-1.81164611217887,"no","no","below"
"Peru",629.243,217029926567.802,26.1033010914288,6.44451750959916,7.39556529178133,-0.951047782182169,"no","no","below"
"Philippines",2399.672,378957382755.316,26.6606895891504,7.78308734032963,7.96009858816483,-0.177011247835202,"no","no","below"
"Poland",2815.948,598302692664.81,27.1173626378584,7.94305425119834,8.42262543005433,-0.479571178855983,"no","no","below"
"Portugal",1344.576,215084035589.303,26.094294651913,7.20383400070116,7.38644340460692,-0.18260940390576,"no","no","below"
"Qatar",7272.402,163984573110.552,25.823038193947,8.89184191485746,7.11170988748767,1.78013202736978,"no","no","above"
"Romania",1234.156,220677389818.034,26.1199676973762,7.11814261462758,7.41244553605164,-0.29430292142406,"no","no","below"
"Russian Federation",23820.688,1490186403606.44,28.0299223311527,10.0783097257835,9.34688262931126,0.731427096472272,"no","no","above"
"Samoa",64.046,843469448.211677,20.5530342390355,4.15960157518259,1.77415319806615,2.38544837711644,"no","no","above"
"Sao Tome and Principe",5.586,377594164.665218,19.7493305383694,1.72026346752299,0.960147345223294,0.760116122299691,"no","no","above"
"Saudi Arabia",16912.477,672126508709.167,27.2337124167591,9.73580691253725,8.54046662068669,1.19534029185056,"no","no","above"
"Senegal",7.325,24246000776.7559,23.9115175243073,1.99129315490313,5.1756866843752,-3.18439352947207,"yes","below","below"
"Seychelles",1500.003,1651621574.39045,21.2250234146122,7.3132223870883,2.45475616345393,4.85846622363437,"yes","above","above"
"Sierra Leone",5.625,5181034757.05245,22.3682706333172,1.72722094809048,3.61265792065742,-1.88543697256693,"no","no","below"
"Singapore",142292.301,360897294151.877,26.611859251066,11.8656386786086,7.91064232590797,3.95499635270068,"yes","above","above"
"Slovenia",135.476,52164080297.0887,24.6776599780599,4.90879450286062,5.95164981724268,-1.04285531438206,"no","no","below"
"Somalia",2.196,7302356498.62434,22.7114629410402,0.786637523647284,3.96024938615107,-3.17361186250379,"yes","below","below"
